# sinh tự động bởi compile_vi.py – không sửa tay
五	năm (số 5)
午饭	bữa trưa
西	phía tây
西边	phía tây
洗	rửa, giặt
洗手间	nhà vệ sinh
喜欢	thích
下	dưới; xuống
下班	tan làm
下边	phía dưới
下车	xuống xe
下次	lần sau
下课	tan học, hết tiết
下午	buổi chiều
下雨	mưa
先	trước, trước tiên
先生	ông, ngài; chồng
现在	bây giờ
想	muốn; nghĩ; nhớ
小	nhỏ
小孩儿	trẻ con
小姐	cô (gọi phụ nữ trẻ)
小朋友	bạn nhỏ, các cháu
小时	tiếng, giờ đồng hồ
小学	tiểu học
小学生	học sinh tiểu học
笑	cười
写	viết
谢谢	cảm ơn
新	mới
新年	năm mới
星期	tuần; thứ (trong tuần)
星期日	Chủ nhật
星期天	Chủ nhật
行	được, ổn
休息	nghỉ ngơi
学	học
学生	học sinh
学习	học tập
学校	trường học
学院	học viện
要	muốn; cần; sẽ
爷爷	ông nội
也	cũng
页	trang
一	một
衣服	quần áo
医生	bác sĩ
医院	bệnh viện
一半	một nửa
一会儿	một lát
一块儿	cùng nhau
一下儿	một chút; thử (làm gì)
一样	giống nhau
一边	một bên; vừa… vừa…
一点儿	một chút
一起	cùng nhau
一些	một vài, một ít
用	dùng
有	có
有的	có cái, có người
有名	nổi tiếng
有时候	có lúc, đôi khi
有些	có một số; hơi
有用	có ích
右	phải (bên phải)
右边	bên phải
雨	mưa
元	đồng, tệ (đơn vị tiền)
远	xa
月	tháng; mặt trăng
再	lại, nữa
再见	tạm biệt
在	ở; đang
在家	ở nhà
早	sớm; chào buổi sáng
早饭	bữa sáng
早上	sáng sớm
怎么	thế nào, sao
站	đứng; trạm, bến
找	tìm
找到	tìm thấy
这	này, đây
这边	bên này
这里	ở đây
这儿	ở đây
这些	những… này
着	(trợ từ) đang, chỉ trạng thái kéo dài
真	thật
真的	thật sự
正	đang; ngay, đúng
正在	đang
知道	biết
知识	kiến thức
中	giữa, trong
中国	Trung Quốc
中间	ở giữa
中文	tiếng Trung
中午	buổi trưa
中学	trung học
中学生	học sinh trung học
重	nặng
重要	quan trọng
住	ở, sống
准备	chuẩn bị
桌子	cái bàn
字	chữ
子	con; (hậu tố danh từ)
走	đi (bộ); rời đi
走路	đi bộ
最	nhất
最好	tốt nhất; tốt hơn hết là
最后	cuối cùng
昨天	hôm qua
左	trái (bên trái)
左边	bên trái
坐	ngồi; đi (xe, tàu)
坐下	ngồi xuống
做	làm
边	bên, cạnh
不要	đừng; không cần
超市	siêu thị
出租车	taxi
大家	mọi người
店	cửa hàng, quán
分钟	phút
公司	công ty
狗	con chó
件	chiếc, việc (lượng từ cho quần áo, sự việc)
饺子	sủi cảo
可以	có thể, được
卖	bán
猫	con mèo
便宜	rẻ
漂亮	đẹp
千	nghìn
它	nó (chỉ vật, con vật)
它们	chúng nó (chỉ vật, con vật)
喂	a lô (nghe điện thoại); này
问题	vấn đề; câu hỏi
雪	tuyết
椅子	cái ghế
有点儿	hơi, có chút
怎么样	thế nào
只	chỉ; con (lượng từ cho động vật)
做饭	nấu cơm
苹果	quả táo
女士	bà, quý bà
些	một số, vài
玩	chơi
